latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
52.19182674999999,-117.26022117500003,2176.3066,0.82222,65,2019,-125317.023
52.19182228333332,-117.26028125,2176.626,0.82083,65,2019,-117628.363
52.19180923888888,-117.26035074166668,2177.0567,0.81944,65,2019,-109943.004
52.19178849444444,-117.26041084166667,2177.4547,0.81806,65,2019,-102258.172
52.191757394444444,-117.26047075555556,2177.7709,0.81667,65,2019,-94574.051
52.19172243611111,-117.26052772222222,2178.0734,0.81528,65,2019,-86889.553
52.19169290555555,-117.26057607222222,2178.4257,0.81389,65,2019,-79204.863
52.19166278611111,-117.26062429444444,2178.7884,0.81250,65,2019,-71518.224
52.191631599999994,-117.26067250833333,2178.9917,0.81111,65,2019,-63833.683
52.19159887777777,-117.26071614444444,2179.4639,0.80972,65,2019,-56149.616
52.191563738888895,-117.26075907222223,2179.7943,0.80833,65,2019,-48465.760
52.19152490277776,-117.260804,2180.1952,0.80694,65,2019,-40781.239
52.19149479444443,-117.26083928888887,2180.416,0.80556,65,2019,-33098.042
52.191376358333336,-117.26097449722221,2181.335,0.80139,65,2019,-10048.481
52.19133372499999,-117.26101442500001,2181.8918,0.80000,65,2019,-2366.220
52.19129235833332,-117.26105079166666,2182.1004,0.79861,65,2019,5313.515
52.19125145277778,-117.26108096111112,2182.391,0.79722,65,2019,12990.814
52.191203958333325,-117.26110785555555,2182.7236,0.79583,65,2019,20670.255
52.191158519444436,-117.26113303055556,2182.9098,0.79444,65,2019,28350.988
52.19106612499999,-117.26117022777777,2183.0715,0.79167,65,2019,43719.705
52.191022080555555,-117.26117176666665,2183.2986,0.79028,65,2019,51408.316
52.190972544444435,-117.26116143333331,2183.4403,0.78889,65,2019,59099.272
52.19092799444444,-117.26114260277778,2183.4981,0.78750,65,2019,66791.134
52.19088509444445,-117.26112176388888,2183.6073,0.78611,65,2019,74483.875
52.190855011111104,-117.26109547222221,2183.699,0.78472,65,2019,82173.914
52.19081635277777,-117.26105844722223,2183.9057,0.78333,65,2019,89865.573
52.190781675,-117.26101787222221,2184.0363,0.78194,65,2019,97556.786
52.19075816388889,-117.26097874444446,2184.104,0.78056,65,2019,105247.664
52.190730388888895,-117.2609317083333,2184.3506,0.77917,65,2019,112938.989
52.19069964722221,-117.26087635555554,2184.536,0.77778,65,2019,120629.942
52.190673024999995,-117.26081929999998,2184.7193,0.77639,65,2019,128322.421
52.190648016666664,-117.26075984166667,2184.811,0.77500,65,2019,136013.840
52.19061949722222,-117.26070446388887,2184.9236,0.77361,65,2019,143705.692
52.19059486388888,-117.26064621666667,2185.0059,0.77222,65,2019,151399.136
52.19056938333334,-117.26059379444445,2185.1912,0.77083,65,2019,159092.205
52.19054184444444,-117.26052957777777,2185.3305,0.76944,65,2019,166785.739
